genome	count	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	Quality	Sample_ID	Codes	Habitats	Sites	AAs_auxo	Vitamin_auxo	Nucleotide_auxo	Species_16S	Type	contigs	size	count_norm
lane122s000522_shovill	5513	g__Bacillus (UID901)	46	1082	303	2	1074	6	0	0	0	99.34	0.86	16.67	HQ	lane122s000522	8O	Conifer forest	F9	Auxotroph	0	0	F9B 71a Bacillus mycoides/Bacillus weihenstephanensis	Isolate	110	5861104	940.6077762824206
lane122s000523_bin.1.p	6155	o__Rhizobiales (UID3654)	92	481	319	4	470	7	0	0	0	99.06	1.33	0	HQ	lane122s000523	7C	Conifer forest	F9	Auxotroph	0	0	F9C 46 Bosea vestrisii / Bosea eneae	Isolate	146	6957692	884.6324327090075
lane122s000524_shovill	5571	g__Bacillus (UID901)	46	1082	303	2	1078	2	0	0	0	99.34	0.15	0	HQ	lane122s000524	9R	Meadow	Meadow_2	Auxotroph	0	0	M20B 82 Bacillus toyonensis	Isolate	95	6064365	918.6452332602012
lane122s000525_bin.1.p	3417	o__Actinomycetales (UID1593)	69	400	198	2	396	2	0	0	0	99.41	1.01	0	HQ	lane122s000525	8E	Meadow	Meadow_1	Prototroph	1	0	M10A 100 did not work	Isolate	10	3882684	880.0613184075758
lane122s000527_megahit	3724	f__Xanthomonadaceae (UID4214)	55	659	290	2	651	6	0	0	0	99.54	1.2	0	HQ	lane122s000527	8V	Conifer forest	F5	Not assayed	NA	NA	F5A 29 Rhodanobacter caeni	Isolate	54	4556641	817.2686854198081
lane122s000528_shovill	3912	g__Bacillus (UID865)	36	1200	269	1	1197	2	0	0	0	99.81	0.25	0	HQ	lane122s000528	7M	Conifer forest	F5	Auxotroph	0	0	F5A 106 Luteibacter anthropi	Isolate	42	4068721	961.4815073336314
lane122s000529_megahit	5123	f__Bacillaceae (UID829)	128	561	183	4	553	4	0	0	0	98.3	1.23	0	HQ	lane122s000529	9G	Meadow	Meadow_2	Auxotroph	0	0	M20B 192 [Brevibacterium] frigoritolerans contaminated	Isolate	520	5403383	948.1097305151236
lane122s000530_shovill	2908	c__Bacilli (UID259)	750	273	152	0	272	1	0	0	0	100	0.33	0	HQ	lane122s000530	9T	Meadow	Meadow_2	Auxotroph	0	0	M20B 173 Exiguobacterium undae	Isolate	104	3096170	939.2249133607005
lane122s000531_bin.1.o	3583	f__Rhizobiaceae (UID3563)	81	808	337	19	788	1	0	0	0	96.1	0.04	0	HQ	lane122s000531	11H	Meadow	Meadow_3	Auxotroph	0	0	M30C 31 Ensifer adhaerens	Isolate	36	3830656	935.3489324021787
lane122s000532_bin.1.p	5008	g__Bacillus (UID901)	46	1082	303	78	999	5	0	0	0	97.53	0.38	0	HQ	lane122s000532	9O	Meadow	Meadow_2	Auxotroph	0	0	M20B 78 Prolinoborus fasciculus	Isolate	186	5206411	961.891022433688
lane122s000533_bin.10.p	3223	o__Actinomycetales (UID1593)	69	400	198	1	398	1	0	0	0	99.49	0.51	0	HQ	lane122s000533	5P	Meadow	Meadow_1	Auxotroph	0	0	M10C 65 Mycetocola manganoxydans	Isolate	13	3521579	915.2144535164482
lane122s000534_megahit	3421	o__Actinomycetales (UID1593)	69	400	198	2	396	2	0	0	0	99.41	1.01	0	HQ	lane122s000534	6G	Meadow	Meadow_1	Not assayed	NA	NA	M10A 100 Doesn<d5>t work	Isolate	31	3885375	880.4812920245794
lane122s000535_bin.1.p	3686	o__Actinomycetales (UID1593)	69	400	198	1	398	1	0	0	0	99.49	0.51	0	HQ	lane122s000535	6B	Conifer forest	F9	Auxotroph	0	0	F9C 224 Agromyces aureus	Isolate	76	4098708	899.3077818668712
lane122s000536_megahit	4622	f__Burkholderiaceae (UID4003)	91	596	218	3	591	2	0	0	0	99.82	0.29	0	HQ	lane122s000536	5L	Meadow	Meadow_3	Auxotroph	0	0	M30C 117 Cupriavidus respiraculi	Isolate	63	5715211	808.7190481681254
lane122s000537_shovill	6018	f__Paenibacillaceae (UID973)	32	468	170	1	464	3	0	0	0	99.85	0.54	0	HQ	lane122s000537	5H	Conifer forest	F5	Prototroph	1	0	F5C 22 Does not work	Isolate	78	7040003	854.8291811807467
lane122s000538_bin.1.p	5253	g__Bacillus (UID901)	46	1082	303	2	1077	3	0	0	0	99.34	0.37	0	HQ	lane122s000538	5T	Deciduous forest	F7	Auxotroph	0	0	F7C 8M Bacillus mycoides/Bacillus weihenstephanensis 100%	Isolate	199	5537680	948.5921902312882
lane122s000539_shovill	4989	f__Bacillaceae (UID829)	128	561	183	2	555	4	0	0	0	98.91	1.64	0	HQ	lane122s000539	5N	Conifer forest	F3	Auxotroph	0	0	F3C 100 Brevibacterium] frigoritolerans	Isolate	228	5469992	912.067147447382
lane122s000540_bin.1.p	7150	g__Burkholderia (UID4006)	64	769	248	74	686	8	1	0	0	94.77	1.05	0	HQ	lane122s000540	6H	Conifer forest	F5	Auxotroph	0	0	F5A 127 Dyella marensis	Isolate	450	7997825	893.9930543616546
lane122s000540_bin.2.p	3876	g__Bacillus (UID865)	36	1200	269	18	1178	4	0	0	0	98.33	0.28	0	HQ	lane122s000540	6H	Conifer forest	F5	Auxotroph	0	0	F5A 127 Dyella marensis	Isolate	34	4022890	963.4864487967606
lane122s000541_shovill	5643	g__Bacillus (UID901)	46	1082	303	4	1069	9	0	0	0	98.68	0.82	0	HQ	lane122s000541	6N	Meadow	Meadow_1	Auxotroph	0	0	M10B 93 Bacillus mycoide/ Bacillus weihenstephanensis	Isolate	122	6103185	924.5992051691044
lane122s000542_bin.1.s	3424	o__Actinomycetales (UID1593)	69	400	198	2	396	2	0	0	0	99.41	1.01	0	HQ	lane122s000542	6K	Meadow	Meadow_1	Prototroph	1	0	M10A 101 Phycicola gilvus	Isolate	20	3882327	881.9452869374476
lane122s000543_bin.1.p	3585	o__Actinomycetales (UID1593)	69	400	198	1	398	1	0	0	0	99.49	0.51	0	HQ	lane122s000543	6E	Conifer forest	F9	Auxotroph	0	0	F9C 41 Agromyces iriomotensis	Isolate	74	4043174	886.6796234839262
lane122s000544_bin.1.s	5011	g__Bacillus (UID901)	46	1082	303	3	1075	4	0	0	0	99.01	0.28	0	HQ	lane122s000544	5M	Meadow	Meadow_2	Auxotroph	0	0	M20C 128 Bacillus mycoides/ Bacillus weihenstephanensis	Isolate	115	5218971	960.1509569606729
lane122s000545_shovill	3881	g__Bacillus (UID865)	36	1200	269	1	1198	1	0	0	0	99.81	0.12	0	HQ	lane122s000545	9H	Conifer forest	F5	Auxotroph	0	0	F5C 276 Bacillus subtilise	Isolate	26	4052013	957.7955450784585
lane122s000599_bin.1.p	1372	k__Archaea (UID2)	207	145	103	36	105	4	0	0	0	80.4	2.91	0	MQ	lane122s000599	Meadow1	Meadow	Meadow_1	Not assayed	NA	NA	NA	Metagenomic	264	1411418	972.0720580295845
lane122s000600_bin.1.s	3679	c__Gammaproteobacteria (UID4761)	52	693	297	53	635	4	1	0	0	95.62	1.07	0	HQ	lane122s000600	Meadow2	Meadow	Meadow_2	Not assayed	NA	NA	NA	Metagenomic	38	4248267	866.0001831334989
lane122s000600_bin.2.o	2651	c__Alphaproteobacteria (UID3422)	26	529	308	190	313	26	0	0	0	59.78	3.51	7.69	MQ	lane122s000600	Meadow2	Meadow	Meadow_2	Not assayed	NA	NA	NA	Metagenomic	845	2337744	1133.9992745142326
lane122s000600_bin.3.p	2667	o__Cytophagales (UID2938)	28	439	266	216	187	34	2	0	0	52.27	7.72	0	MQ	lane122s000600	Meadow2	Meadow	Meadow_2	Not assayed	NA	NA	NA	Metagenomic	684	2596461	1027.167363576807
lane122s000600_bin.4.o	3405	f__Xanthomonadaceae (UID4214)	55	659	290	77	555	27	0	0	0	91.29	6	7.41	MQ	lane122s000600	Meadow2	Meadow	Meadow_2	Not assayed	NA	NA	NA	Metagenomic	562	3907867	871.3193156266577
lane122s000600_bin.5.s	2720	o__Cytophagales (UID2936)	47	454	336	225	193	32	4	0	0	51.44	8.17	2.27	MQ	lane122s000600	Meadow2	Meadow	Meadow_2	Not assayed	NA	NA	NA	Metagenomic	1123	2368763	1148.2786585234571
lane122s000600_bin.6.p	1156	k__Archaea (UID2)	207	145	103	60	83	2	0	0	0	61.96	1.94	0	MQ	lane122s000600	Meadow2	Meadow	Meadow_2	Not assayed	NA	NA	NA	Metagenomic	417	1116804	1035.09657916698
lane122s000601_bin.1.o	4027	c__Deltaproteobacteria (UID3216)	83	247	155	105	135	7	0	0	0	55.48	2.57	0	MQ	lane122s000601	Meadow3	Meadow	Meadow_3	Not assayed	NA	NA	NA	Metagenomic	1892	4867997	827.2396223744591
lane122s000601_bin.10.s	3504	o__Cytophagales (UID2938)	28	439	266	95	344	0	0	0	0	81.45	0	0	MQ	lane122s000601	Meadow3	Meadow	Meadow_3	Not assayed	NA	NA	NA	Metagenomic	327	3928484	891.9471226050558
lane122s000601_bin.2.o	2719	o__Cytophagales (UID2938)	28	439	266	216	211	12	0	0	0	51.62	1.96	0	MQ	lane122s000601	Meadow3	Meadow	Meadow_3	Not assayed	NA	NA	NA	Metagenomic	945	2542628	1069.366026017176
lane122s000601_bin.3.s	3865	c__Gammaproteobacteria (UID4761)	52	693	297	12	674	6	1	0	0	99.33	1.29	0	HQ	lane122s000601	Meadow3	Meadow	Meadow_3	Not assayed	NA	NA	NA	Metagenomic	29	4483169	862.1133845277749
lane122s000601_bin.4.o	2100	f__Xanthomonadaceae (UID4214)	55	659	290	225	411	22	1	0	0	62.4	3.4	16	MQ	lane122s000601	Meadow3	Meadow	Meadow_3	Not assayed	NA	NA	NA	Metagenomic	230	2259571	929.3799575229103
lane122s000601_bin.5.o	2671	f__Xanthomonadaceae (UID4214)	55	659	290	152	493	14	0	0	0	80.17	2.39	7.14	MQ	lane122s000601	Meadow3	Meadow	Meadow_3	Not assayed	NA	NA	NA	Metagenomic	192	3248365	822.2598137832417
lane122s000601_bin.6.o	3323	c__Alphaproteobacteria (UID3422)	26	529	308	139	349	33	5	3	0	73.24	6.26	3.03	MQ	lane122s000601	Meadow3	Meadow	Meadow_3	Not assayed	NA	NA	NA	Metagenomic	962	2981905	1114.3882853410823
lane122s000601_bin.7.o	2489	o__Actinomycetales (UID1696)	455	315	190	140	159	16	0	0	0	53.61	4.37	6.25	MQ	lane122s000601	Meadow3	Meadow	Meadow_3	Not assayed	NA	NA	NA	Metagenomic	919	2237730	1112.2878988975435
lane122s000601_bin.8.s	961	k__Archaea (UID2)	207	145	103	72	72	1	0	0	0	56.55	0.97	0	MQ	lane122s000601	Meadow3	Meadow	Meadow_3	Not assayed	NA	NA	NA	Metagenomic	365	862216	1114.5698989580337
lane122s000601_bin.9.p	1155	k__Archaea (UID2)	207	145	103	58	86	1	0	0	0	56.15	0.97	0	MQ	lane122s000601	Meadow3	Meadow	Meadow_3	Not assayed	NA	NA	NA	Metagenomic	444	1215776	950.0105282552049
lane122s000602_bin.1.o	8333	o__Actinomycetales (UID1696)	455	311	187	56	239	14	2	0	0	88.3	6.67	20	MQ	lane122s000602	F5	Conifer forest	F5	Not assayed	NA	NA	NA	Metagenomic	1564	9230602	902.7580216328253
lane122s000603_bin.1.o	1379	p__Actinobacteria (UID1454)	732	199	116	74	125	0	0	0	0	58.02	0	0	MQ	lane122s000603	F3	Conifer forest	F3	Not assayed	NA	NA	NA	Metagenomic	183	1344127	1025.9447209973462
lane122s000603_bin.2.s	2592	k__Bacteria (UID2982)	88	230	148	77	148	5	0	0	0	70.11	2.36	0	MQ	lane122s000603	F3	Conifer forest	F3	Not assayed	NA	NA	NA	Metagenomic	449	3203631	809.0819448307249
lane122s000603_bin.3.o	2427	c__Alphaproteobacteria (UID3305)	564	349	230	158	173	16	2	0	0	55.65	4.23	9.09	MQ	lane122s000603	F3	Conifer forest	F3	Not assayed	NA	NA	NA	Metagenomic	869	2093629	1159.2311722850611
lane122s000604_bin.1.o	2213	k__Bacteria (UID1453)	901	171	117	53	98	20	0	0	0	63.14	7.53	80	MQ	lane122s000604	F8	Deciduous forest	F8	Not assayed	NA	NA	NA	Metagenomic	783	1841998	1201.4128136946945
lane122s000604_bin.2.o	2829	p__Actinobacteria (UID1454)	732	199	116	22	158	19	0	0	0	86.49	6.58	31.58	MQ	lane122s000604	F8	Deciduous forest	F8	Not assayed	NA	NA	NA	Metagenomic	894	2544956	1111.6105740138532
lane122s000605_bin.1.o	2739	k__Bacteria (UID203)	5449	104	58	57	46	1	0	0	0	59.95	1.72	0	MQ	lane122s000605	F9	Conifer forest	F9	Not assayed	NA	NA	NA	Metagenomic	609	3101799	883.0359414004582
lane122s000605_bin.2.o	7768	k__Bacteria (UID2565)	2921	143	88	9	121	13	0	0	0	91.29	3.55	0	HQ	lane122s000605	F9	Conifer forest	F9	Not assayed	NA	NA	NA	Metagenomic	1911	10780381	720.5682248150599
lane122s000605_bin.3.p	5838	k__Bacteria (UID3187)	2258	188	117	40	140	8	0	0	0	74.95	3.57	0	MQ	lane122s000605	F9	Conifer forest	F9	Not assayed	NA	NA	NA	Metagenomic	2318	6020288	969.721049889972
lane122s000606_bin.1.o	2040	k__Bacteria (UID3187)	2258	181	110	79	98	4	0	0	0	54.91	1.5	25	MQ	lane122s000606	F4	Deciduous forest	F4	Not assayed	NA	NA	NA	Metagenomic	753	1979936	1030.3363341037286
lane122s000606_bin.2.s	4829	o__Rhizobiales (UID3642)	107	485	316	121	331	31	1	1	0	72.35	5.43	5	MQ	lane122s000606	F4	Deciduous forest	F4	Not assayed	NA	NA	NA	Metagenomic	1683	4363818	1106.5997711178607
lane122s000606_bin.3.o	2982	p__Actinobacteria (UID1454)	732	199	116	47	137	14	1	0	0	71.51	9.17	17.65	MQ	lane122s000606	F4	Deciduous forest	F4	Not assayed	NA	NA	NA	Metagenomic	974	3052912	976.772340637398
lane122s000607_bin.1.p	7484	k__Bacteria (UID3187)	2258	188	117	47	129	12	0	0	0	73.84	5.25	8.33	MQ	lane122s000607	F7	Deciduous forest	F7	Not assayed	NA	NA	NA	Metagenomic	3305	8009957	934.3371006860586
lane122s000607_bin.2.p	1833	k__Bacteria (UID1453)	901	171	117	68	96	7	0	0	0	57	3.26	14.29	MQ	lane122s000607	F7	Deciduous forest	F7	Not assayed	NA	NA	NA	Metagenomic	712	1513102	1211.4186617954374
lane122s000607_bin.3.o	3799	k__Bacteria (UID1453)	901	171	117	35	127	9	0	0	0	77.17	6.17	11.11	MQ	lane122s000607	F7	Deciduous forest	F7	Not assayed	NA	NA	NA	Metagenomic	1071	3495101	1086.9499908586333
lane122s000720_shovill	3987	g__Bacillus (UID865)	36	1200	269	2	1196	2	0	0	0	99.79	0.25	0	HQ	lane122s000720	BL	Lab strain	NA	Auxotroph	0	0	Bacillus lab strain, leu auxotroph	Polymorphism	32	4176905	954.5345177829039
lane122s000721_shovill	4199	g__Bacillus (UID865)	36	1200	269	42	1130	28	0	0	0	96.17	2.35	35.71	HQ	lane122s000721	No9	Lab strain	NA	Auxotroph	0	0	Bacillus lab strain, leu auxotroph	Polymorphism	1409	3769912	1113.8191024087564
lane821s003035_bin.1.p	5403	g__Bacillus (UID901)	46	1082	303	3	1074	5	0	0	0	99.01	0.61	0	HQ	lane821s003035	A	Meadow	Meadow_1	Auxotroph	0	0	M10A 63 Bacillus mycoides/ Bacillus weihenstephanensis	Deep_isolate	85	5783682	934.1799912235839
lane821s003036_shovill	3824	o__Actinomycetales (UID1593)	69	400	198	2	396	2	0	0	0	98.99	0.67	0	HQ	lane821s003036	B	Meadow	Meadow_1	Prototroph	1	0	M10A 100* Microbacterium yannicii	Deep_isolate	20	4509593	847.9700939752213
lane821s003037_bin.1.p	6735	f__Paenibacillaceae (UID973)	32	468	170	2	460	6	0	0	0	99.75	2.01	0	HQ	lane821s003037	C	Deciduous forest	F8	Auxotroph	1	0	F8C 103* Paenibacillus borealis	Deep_isolate	51	8237488	817.6036189673357
lane821s003038_bin.1.o	4676	f__Bacillaceae (UID829)	128	561	183	36	523	2	0	0	0	95.36	0.82	0	HQ	lane821s003038	D	Conifer forest	F3	Auxotroph	0	0	F3C 100* Brevibacterium] frigoritolerans	Deep_isolate	76	5156481	906.8199805254785
lane821s003040_bin.1.o	2407	f__Bacillaceae (UID829)	128	561	183	55	505	1	0	0	0	84.7	0.55	0	MQ	lane821s003040	F	Conifer forest	F3	Auxotroph	1	0	F3A 106* Bacillus huizhouensis	Deep_isolate	18	2752560	874.4586857325544
lane821s003041_shovill	4789	c__Bacilli (UID259)	750	275	151	1	271	3	0	0	0	99.34	0.77	0	HQ	lane821s003041	G	Meadow	Meadow_2	Auxotroph	0	0	M20A 165* Lysinibacillus pakistanensis	Deep_isolate	129	5140123	931.6897669569386
lane821s003042_shovill	3820	f__Bacillaceae (UID829)	128	561	183	2	556	3	0	0	0	98.91	0.96	0	HQ	lane821s003042	H	Conifer forest	F3	Auxotroph	0	1	F3A 18 Doesn<d5>t work	Deep_isolate	37	4049066	943.4274472186919
lane821s003043_bin.1.s	2942	o__Actinomycetales (UID1593)	69	400	198	2	398	0	0	0	0	99.24	0	0	HQ	lane821s003043	I	Meadow	Meadow_1	Auxotroph	1	1	M10B 12 Agromyces terreus	Deep_isolate	26	3459168	850.493529079825
lane821s003044_shovill	6304	o__Rhizobiales (UID3654)	92	481	319	4	470	7	0	0	0	99.06	1.33	0	HQ	lane821s003044	K	Conifer forest	F9	Auxotroph	0	0	F9C 200 Bosea vestrisii / Bosea eneae	Deep_isolate	262	7076034	890.8945321630732
