id	item	ms_ref	description	contributors	code	code_anchor	input_data	output	source_data	reproduce	large_file	type
F5a	Fig 5a	Fig. 5a	Pairwise cross-feeding networks (19 auxotrophs, 22 prototrophs)	L. Oña; G. Yousif	Experimental coculture analysis		coculture growth measurements	figures/fig5		Experimental coculture assay		experimental
F5b	Fig 5b	Fig. 5b	Proportion of auxotrophic recipients that grew, by donor type	L. Oña; G. Yousif	code/Image processing and colony isolation_all species.ipynb		coculture growth measurements	figures/fig5		Experimental coculture assay		experimental
F5c	Fig 5c	Fig. 5c	SMETANA-predicted metabolic interactions in a focal community	G. Yousif (figure); F. Zorrilla (SMETANA data)	analysis/05_smetana_crossfeeding/		data/smetana/ (SMETANA v1.1.0 --detailed; amino acids + vitamins)	figures/fig5		SMETANA cross-feeding predictions (source data provided)	SMETANA raw output available on request	co-author figure
F6a	Fig 6a	Fig. 6a	Metabolic complementarity vs community size across the 27 communities (per-community in grey, mean in colour; 746 auxotrophic strains, group sizes 2-5)	L. Oña	code/plots.ipynb	cell 1	per-community complementarity summary (L. Oña's analysis)	figures/fig6		Contributed by L. Oña; see Data availability		co-author figure
F6b	Fig 6b	Fig. 6b	Metabolic complementarity of the 58 focal isolates: computational prediction (red) vs experimental coculture (blue)	F. Zorrilla (analysis); L. Oña (Python render)	analysis/06_saturation/sat_sim/sat_sim_notebook.Rmd; code/plots.ipynb	cell 14	analysis/06_saturation/sat_sim/*_auxo.tsv, data/figure_data/auxo_df.tsv	figures/fig6	figures/fig6/SourceData_Fig6b.xlsx	Computational complementarity 29/65/87/95%; experimental 44/57/75%		reproducible
S1	Supp Fig 1	Supplementary Fig. 1	Locations of the nine soil sampling sites	G. Yousif	Sampling-site map		site coordinates	figures/supp_fig_01		Map of sampling sites		co-author figure
S2	Supp Fig 2	Supplementary Fig. 2	Community-level phylum profile of the nine metagenomic samples	G. Yousif	Metagenome taxonomic composition		metagenome taxonomic profiles	figures/supp_fig_02		Phylum relative abundance per sample		co-author figure
S3	Supp Fig 3	Supplementary Fig. 3	De-novo assembly and binning statistics for 102 genomes (genomes reconstructed; completeness vs contamination; basepairs and contigs)	F. Zorrilla	analysis/07_community_composition/{assembly,binning,qfilter,drep}Vis.R		assembly/binning/qfilter QC statistics (CheckM, GTDB-Tk)	figures/supp_fig_03	figures/supp_fig_03	Assembly and binning quality statistics		reproducible
S4	Supp Fig 4	Supplementary Fig. 4	Phylogenetic tree of the 102 genomes with auxotrophy heatmaps	F. Zorrilla	analysis/03_phylogenetics/phylogenetic.Rmd		protein alignment tree; GEM and annotation auxotrophy calls	figures/supp_fig_04	figures/supp_fig_04	Protein tree with per-genome auxotrophy annotation		reproducible
S5	Supp Fig 5	Supplementary Fig. 5	Mobile genetic elements: plasmid, virus and insertion-sequence content per Mbp	F. Zorrilla	analysis/03_phylogenetics/phylogenetic.Rmd; analysis/04_genome_features/metabolic_modeling_soil.Rmd		data/annotations/ISfinder_k1000.tsv; geNomad plasmid/virus summaries	figures/supp_fig_05	figures/supp_fig_05	IS in annotated genes (panel 5c) P = 0.009 (W = 90); plasmid/virus content from geNomad		reproducible
S6	Supp Fig 6	Supplementary Fig. 6	Genome size (Mbp) and number of annotated genes (102 genomes)	F. Zorrilla	analysis/04_genome_features/metabolic_modeling_soil.Rmd		data/figure_data/genome_contigs_bp.tsv; gtdbtk_summary.tsv	figures/supp_fig_06	figures/supp_fig_06	Genome size and gene-number distributions		reproducible
S7	Supp Fig 7	Supplementary Fig. 7	PCA of gene copy number from eggNOG annotations	F. Zorrilla	analysis/04_genome_features/metabolic_modeling_soil.Rmd		data/annotations/eggnog_summary.tsv.gz	figures/supp_fig_07	figures/supp_fig_07	PCA of eggNOG gene copy-number profiles	eggNOG table stored gzip-compressed	reproducible
S8	Supp Fig 8	Supplementary Fig. 8	Number of auxotrophies vs tendency to grow in coculture	L. Oña	code/plots.ipynb		coculture growth measurements	figures/supp_fig_08		Spearman correlation, n = 23		experimental
S9	Supp Fig 9	Supplementary Fig. 9	Auxotroph growth vs amount of amino acid produced (LC-MS/MS)	G. Yousif	LC-MS/MS analysis		LC-MS/MS measurements	figures/supp_fig_09		Correlation of growth with metabolite production, n = 22		experimental
S10	Supp Fig 10	Supplementary Fig. 10	Predicted metabolite-exchange network for the focal community	G. Yousif (figure); F. Zorrilla (SMETANA data)	analysis/05_smetana_crossfeeding/		data/smetana/ (SMETANA v1.1.0 --detailed)	figures/supp_fig_10		SMETANA metabolite-exchange predictions	SMETANA raw output available on request	co-author figure
S11	Supp Fig 11	Supplementary Fig. 11	Distribution of unadjusted phyloglm P-values across genes	F. Zorrilla	analysis/03_phylogenetics/phylogenetic.Rmd		data/figure_data/genes_plr.tsv	figures/supp_fig_11		P-value distribution of the per-gene phyloglm fits		reproducible
T1	Supp Table 1	Supplementary Table 1	Genomic evidence for amino-acid biosynthesis in false-negative model predictions	F. Zorrilla	supplementary_tables/Supplementary_Tables.xlsx (tab 1)			xlsx		Curated genomic evidence table		reproducible
T2	Supp Table 2	Supplementary Table 2	Summary of phyloglm models (lambda, P, half-life with 95% CI from 1000 bootstraps, set.seed(42))	F. Zorrilla	supplementary_tables/Supplementary_Tables.xlsx (tab 2); analysis/03_phylogenetics/phylogenetic.Rmd		data/figure_data/genes_plr.tsv	xlsx		Phyloglm model summaries; per-gene results in genes_plr.tsv		reproducible
T3	Supp Table 3	Supplementary Table 3	Isolates used in the pairwise coculture assay (19 auxotrophs, 22 prototrophs)	G. Yousif	supplementary_tables/Supplementary_Tables.xlsx (tab 3)			xlsx		Strain list for the pairwise assay		experimental
T4	Supp Table 4	Supplementary Table 4	Isolates used in the complementarity experiments (Fig. 6b)	G. Yousif	supplementary_tables/Supplementary_Tables.xlsx (tab 4)			xlsx		Strain list for the complementarity experiments		experimental
T260	260-gene table	Supplementary data	Differentially abundant gene set with phyloglm P-values (230 depleted + 30 enriched = 260 genes)	F. Zorrilla	supplementary_tables/Supp_Table_260_differential_genes.xlsx		data/figure_data/genes_plr.tsv	xlsx		260 differentially abundant genes (n = 51 genomes; the two additional genomes in Fig. 4 are polymorphism clones excluded here)		reproducible
A01	metaGEM pipeline	Methods	Metagenomic pipeline: raw reads -> quality filtering -> assembly -> binning -> genome-scale metabolic models	F. Zorrilla	analysis/01_metagem_pipeline/Snakefile + config.yaml		raw reads (ENA PRJEB80563)	data/models (GEMs); data/genomes		Reconstructed GEMs are deposited in data/models/ (rerunning the full pipeline needs an HPC cluster and the raw reads)	raw reads on ENA PRJEB80563	pipeline
A02	GEM auxotrophy prediction	Methods / Fig. 3a	get_auxo.py derives amino-acid auxotrophy calls from the genome-scale metabolic models	F. Zorrilla	analysis/02_gem_auxotrophy/get_auxo.py		data/models/*.xml (SBML GEMs)	data/figure_data/auxopred_default.tsv		auxopred_default.tsv (the default/canonical calls used in Fig. 3a)		analysis
A03	Phylogenetics + phyloglm	Methods / Supp Figs 4,5,11; Table 2	Protein tree, mobile-element and insertion-sequence content, gene-level phylogenetic logistic regression	F. Zorrilla	analysis/03_phylogenetics/phylogenetic.Rmd		protein alignment; ISfinder and geNomad annotations; auxotrophy calls	tree; data/figure_data/genes_plr.tsv		Tree, MGE/IS statistics and phyloglm models (bootstraps use set.seed(42))		analysis
A04	Genome features (master notebook)	Methods / Fig. 4; Supp Figs 5,6,7; 260-gene set	Master analysis notebook: coding density, insertion sequences, eggNOG, geNomad, KEMET, SMETANA and the differential-gene analysis	F. Zorrilla	analysis/04_genome_features/metabolic_modeling_soil.Rmd		figure_data tables; eggNOG; geNomad; KEMET; SMETANA output; memote GEM summary	Fig. 4; Supp Figs 6,7; 260-gene set		Fig. 4 medians 934/880 and 227/5.1; differential-gene set; GEM size 1,513 reactions / 1,069 metabolites (n=102)		analysis
A05	SMETANA cross-feeding	Methods / Figs 5c, S10	Metabolic-interaction prediction (SMETANA v1.1.0 --detailed; amino acids + vitamins; site-based community models)	F. Zorrilla; G. Yousif	analysis/05_smetana_crossfeeding/		data/smetana/	Figs 5c, S10		SMETANA cross-feeding predictions for the focal community	SMETANA raw output available on request	analysis
A06	Saturation analysis	Methods / Fig. 6b	Metabolic complementarity as a function of community size	F. Zorrilla	analysis/06_saturation/sat_sim/sat_sim_notebook.Rmd		analysis/06_saturation/sat_sim/*.tsv	Fig. 6b		Complementarity vs community size (sampling uses set.seed(42))		analysis
A07	Assembly / binning QC	Methods / Supp Fig 3	De-novo assembly and binning quality statistics	F. Zorrilla	analysis/07_community_composition/{assembly,binning,qfilter,drep}Vis.R		QC statistics (CheckM, GTDB-Tk)	Supp Fig 3		Assembly and binning QC for Supp Fig 3		analysis
