gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
lane121s003953_shovill_contig00026_44	26943	27287	345	1	0.496	11	AGGAGG	GENOMAD.127386.VV	1.883e-19	85	0	0	1	2561	Caudoviricetes	NA	NA	PF11242	DNA-binding protein, Tfx family
lane121s003953_shovill_contig00026_45	27280	27870	591	1	0.484	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_46	27867	28382	516	1	0.409	11	GGA/GAG/AGG	GENOMAD.153906.VP	0.0001264	44	0	0	0	2561	Caudoviricetes	NA	NA	PF01541	Excinuclease UvrABC, nuclease subunit
lane121s003953_shovill_contig00026_47	28737	29603	867	1	0.418	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_48	30047	30415	369	1	0.455	11	AGGAGG	GENOMAD.198192.VP	2.236e-45	160	0	0	0	2561	Caudoviricetes	NA	NA	PF13022	Helix-turn-helix of insertion element transposase
lane121s003953_shovill_contig00026_49	31114	32898	1785	1	0.444	11	GGAGG	GENOMAD.140639.VV	7.164e-41	164	0	0	1	2561	Caudoviricetes	NA	NA	PF17236;PF17289	Terminase RNaseH-like domain
lane121s003953_shovill_contig00026_50	33019	33777	759	1	0.393	11	GGAG/GAGG	GENOMAD.206012.VP	0.0001734	45	0	0	0	1	NA	NA	NA	PF19575	NA
lane121s003953_shovill_contig00026_51	33781	35376	1596	1	0.457	11	AGGAGG	GENOMAD.026964.VV	7.973e-60	220	0	0	1	2561	Caudoviricetes	NA	NA	PF05133	phage portal protein, putative, A118 family
lane121s003953_shovill_contig00026_52	35376	36203	828	1	0.449	11	AGGAGG	GENOMAD.020443.VV	2.024e-111	359	0	0	1	2561	Caudoviricetes	NA	NA	PF06152	Phage minor capsid protein 2
lane121s003953_shovill_contig00026_53	36230	36442	213	1	0.404	11	GGAGG	GENOMAD.121896.VV	1.329e-26	103	0	0	0	2561	Caudoviricetes	NA	NA	PF11195	NA
lane121s003953_shovill_contig00026_54	36524	37246	723	1	0.436	11	GGAGG	GENOMAD.211438.VV	1.061e-101	329	0	0	0	2561	Caudoviricetes	NA	NA	PF14265	NA
lane121s003953_shovill_contig00026_55	37331	38416	1086	1	0.411	11	GGAGG	GENOMAD.140639.VV	6.447e-176	550	0	0	1	2561	Caudoviricetes	NA	NA	PF17236;PF17289	Terminase RNaseH-like domain
lane121s003953_shovill_contig00026_56	38488	38709	222	1	0.441	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_57	38726	39112	387	1	0.460	11	GGAGG	GENOMAD.060087.VV	1.888e-25	103	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003953_shovill_contig00026_58	39112	39435	324	1	0.435	11	None	GENOMAD.089218.VV	1.031e-22	94	0	0	1	2561	Caudoviricetes	NA	NA	PF10665	Minor capsid protein
lane121s003953_shovill_contig00026_59	39445	39858	414	1	0.469	11	GGAG/GAGG	GENOMAD.115988.VV	4.186e-29	114	0	0	1	2561	Caudoviricetes	NA	NA	PF11114	phage protein, HK97 gp10 family
lane121s003953_shovill_contig00026_60	39862	40323	462	1	0.418	11	AGxAGG/AGGxGG	GENOMAD.139536.VV	1.056e-25	105	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003953_shovill_contig00026_61	40326	41408	1083	1	0.473	11	AGGAGG	GENOMAD.123067.VV	1.35e-121	393	0	0	0	2561	Caudoviricetes	NA	NA	PF17236	NA
lane121s003953_shovill_contig00026_62	41453	41884	432	1	0.433	11	AGGAGG	GENOMAD.019651.VV	7.975e-50	174	0	0	1	2561	Caudoviricetes	NA	NA	PF09393	Phage tail tube protein
lane121s003953_shovill_contig00026_63	41960	42352	393	1	0.422	11	GGAGG	GENOMAD.015800.VV	4.694e-33	125	0	0	1	2561	Caudoviricetes	NA	NA	PF08890	Phage XkdN-like tail assembly chaperone protein, TAC
lane121s003953_shovill_contig00026_64	42376	42534	159	1	0.440	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_65	42535	44880	2346	1	0.465	11	AGGAGG	GENOMAD.014923.VV	3.575e-116	396	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003953_shovill_contig00026_66	44873	45538	666	1	0.456	11	GGAGG	GENOMAD.015578.VV	1.026e-26	111	0	0	0	2561	Caudoviricetes	NA	NA	PF06995	Nucleoid-associated protein YgaU, contains BON and LysM domains
lane121s003953_shovill_contig00026_67	45535	46581	1047	1	0.432	11	None	GENOMAD.015859.VV	1.72e-47	177	0	0	1	2561	Caudoviricetes	NA	NA	PF05954	Mu-like prophage tail protein gpP
lane121s003953_shovill_contig00026_68	46578	46964	387	1	0.455	11	AGGAG	GENOMAD.084294.VV	3.661e-18	82	0	0	0	2561	Caudoviricetes	NA	NA	PF10844	NA
lane121s003953_shovill_contig00026_69	46966	47397	432	1	0.454	11	AGxAGG/AGGxGG	GENOMAD.016318.VV	5.009e-21	91	0	0	0	2561	Caudoviricetes	NA	NA	PF10934	Mu-like prophage protein gp46
lane121s003953_shovill_contig00026_70	47394	48464	1071	1	0.461	11	AGGAGG	GENOMAD.110264.VV	4.376e-49	182	0	0	1	2561	Caudoviricetes	NA	NA	PF04865	Phage-related baseplate assembly protein
lane121s003953_shovill_contig00026_71	48454	49011	558	1	0.430	11	GGA/GAG/AGG	GENOMAD.018612.VV	4.821e-31	122	0	0	1	2561	Caudoviricetes	NA	NA	PF10076	Uncharacterized protein YmfQ in lambdoid prophage, DUF2313 family
lane121s003953_shovill_contig00026_72	49012	49836	825	1	0.487	11	GGAGG	GENOMAD.152827.VV	2.985e-37	144	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003953_shovill_contig00026_73	49841	50113	273	1	0.410	11	GGAG/GAGG	GENOMAD.158519.VV	4.042e-40	143	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_74	50129	50290	162	1	0.370	11	AGGAGG	GENOMAD.028182.VV	6.687e-05	40	0	0	0	2561	Caudoviricetes	NA	NA	TIGR01669	NA
lane121s003953_shovill_contig00026_75	50307	50582	276	1	0.514	11	AGGAGG	GENOMAD.133463.VP	1.245e-06	47	0	0	0	2561	Caudoviricetes	NA	NA	PF10779	Haemolysin XhlA
lane121s003953_shovill_contig00026_76	50609	50869	261	1	0.448	11	AGGA/GGAG/GAGG	GENOMAD.129163.VV	5.478e-20	85	0	0	1	2561	Caudoviricetes	NA	NA	PF04531	holin, phage phi LC3 family
lane121s003953_shovill_contig00026_77	50869	51591	723	1	0.503	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_78	51647	52327	681	-1	0.377	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_79	52417	52977	561	-1	0.426	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_80	53375	53683	309	-1	0.388	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_81	53698	53925	228	-1	0.412	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_82	53925	54218	294	-1	0.381	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_83	54190	55290	1101	-1	0.385	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_84	55770	56723	954	1	0.426	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_85	56734	56976	243	-1	0.449	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_86	56994	57548	555	-1	0.418	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_87	57698	57997	300	1	0.430	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_88	58219	58401	183	1	0.454	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_89	58500	58769	270	1	0.393	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_90	58760	59068	309	1	0.466	11	GGAGG	GENOMAD.209771.VP	1.661e-23	96	0	0	0	1	NA	NA	NA	PF17399;PF20173	NA
lane121s003953_shovill_contig00026_91	59134	59463	330	1	0.461	11	GGAGG	GENOMAD.085427.VV	3.714e-10	58	0	0	0	9913	Herelleviridae	NA	NA	NA	NA
lane121s003953_shovill_contig00026_92	59460	59828	369	1	0.396	11	GGAGG	GENOMAD.103928.VV	5.48e-11	61	0	0	0	2561	Caudoviricetes	NA	NA	PF07852	NA
lane121s003953_shovill_contig00026_93	59825	60232	408	1	0.449	11	AGGAG	GENOMAD.074154.VV	1.183e-05	46	0	0	0	2561	Caudoviricetes	NA	NA	PF13935	NA
lane121s003953_shovill_contig00026_94	60287	60673	387	1	0.486	11	AGGAG	GENOMAD.079911.VV	1.067e-14	72	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003953_shovill_contig00026_95	60664	60861	198	1	0.394	11	AGGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_96	60858	61088	231	1	0.394	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_97	61090	61179	90	1	0.422	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003953_shovill_contig00026_98	61176	61325	150	1	0.380	11	AGGAG(G)/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_1515-flag=1-multi=4.0000-len=1169_1	2	553	552	1	0.540	11	None	GENOMAD.080602.VV	5.551e-17	81	0	0	1	2561	Caudoviricetes	NA	NA	PF05135	phage conserved hypothetical protein, phiE125 gp8 family
lane121s003962_megahit_k141_1515-flag=1-multi=4.0000-len=1169_2	605	991	387	1	0.576	11	AGGA	GENOMAD.142494.VP	4.886e-48	168	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003962_megahit_k141_1515-flag=1-multi=4.0000-len=1169_3	957	1169	213	-1	0.606	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_1	2	148	147	-1	0.469	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_2	180	458	279	-1	0.480	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_3	571	804	234	-1	0.282	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_4	916	2556	1641	-1	0.579	11	GGA/GAG/AGG	GENOMAD.127022.VV	7.074e-16	84	0	0	1	2561	Caudoviricetes	NA	NA	PF04586	Phage head maturation protease
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_5	2549	2914	366	-1	0.623	11	GGAG/GAGG	GENOMAD.200274.VV	5.216e-36	133	0	0	0	1	NA	NA	NA	PF19602	NA
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_6	2916	3512	597	-1	0.610	11	None	GENOMAD.065578.VV	8.414e-30	119	0	0	1	2561	Caudoviricetes	NA	NA	PF04860;PF04233	phage portal protein, HK97 family
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_7	3569	4084	516	-1	0.647	11	3Base/5BMM	GENOMAD.141040.VC	1.84e-16	79	0	0	1	2561	Caudoviricetes	NA	NA	PF04860	phage portal protein, HK97 family
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_8	4194	4466	273	1	0.465	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_9	4453	4773	321	1	0.526	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_10	4779	6077	1299	-1	0.617	11	GGA/GAG/AGG	GENOMAD.182459.VP	1.858e-16	85	0	0	0	2561	Caudoviricetes	NA	NA	PF13086	NA
lane121s003962_megahit_k141_450-flag=1-multi=6.0000-len=6458_11	6211	6456	246	-1	0.565	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_37-flag=1-multi=4.7043-len=3002_1	70	288	219	-1	0.539	11	AGGAG	GENOMAD.121869.VP	3.93e-10	56	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_37-flag=1-multi=4.7043-len=3002_2	298	1905	1608	-1	0.568	11	GGAGG	GENOMAD.181434.VP	1.915e-34	143	0	0	1	2561	Caudoviricetes	NA	NA	PF20441	Terminase large subunit, endonuclease domain
lane121s003962_megahit_k141_37-flag=1-multi=4.7043-len=3002_3	1874	2287	414	-1	0.606	11	None	GENOMAD.130585.VV	4.472e-10	59	0	0	1	2561	Caudoviricetes	NA	NA	PF05119	Phage terminase, small subunit
lane121s003962_megahit_k141_37-flag=1-multi=4.7043-len=3002_4	2284	2802	519	-1	0.568	11	None	GENOMAD.123093.VP	3.216e-39	145	0	0	1	2561	Caudoviricetes	NA	NA	PF05521	Bacteriophage head-tail adaptor
lane121s003962_megahit_k141_37-flag=1-multi=4.7043-len=3002_5	2862	3002	141	1	0.560	11	GGAG/GAGG	GENOMAD.123093.VP	3.813e-13	63	0	0	1	2561	Caudoviricetes	NA	NA	PF05521	Bacteriophage head-tail adaptor
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_1	202	384	183	1	0.525	11	None	GENOMAD.119462.VV	1.852e-05	42	0	0	1	2561	Caudoviricetes	NA	NA	TIGR01543	phage prohead protease, HK97 family
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_2	578	1813	1236	1	0.593	11	AGGA	GENOMAD.024686.VV	4.917e-09	61	0	0	1	2561	Caudoviricetes	NA	NA	PF05065	Predicted phage phi-C31 gp36 major capsid-like protein
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_3	2020	3072	1053	1	0.549	11	GGAG/GAGG	GENOMAD.214111.VC	5.283e-07	54	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_4	3234	3812	579	-1	0.337	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_5	4045	4614	570	1	0.607	11	GGA/GAG/AGG	GENOMAD.105364.VC	1.564e-27	112	0	0	1	1	NA	NA	NA	PF05135	phage conserved hypothetical protein, phiE125 gp8 family
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_6	4614	4949	336	1	0.625	11	GGA/GAG/AGG	GENOMAD.158042.VP	5.254e-07	49	0	0	1	2561	Caudoviricetes	NA	NA	PF05521	phage head-tail adaptor, putative, SPP1 family
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_7	4946	5101	156	1	0.571	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_8	5098	5508	411	1	0.569	11	GGAG/GAGG	GENOMAD.092143.VV	3.478e-22	94	0	0	1	2561	Caudoviricetes	NA	NA	PF11367	NA
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_9	5537	5950	414	1	0.592	11	AGGA	GENOMAD.062241.VV	9.875e-45	159	0	0	1	2561	Caudoviricetes	NA	NA	PF06199	Predicted secreted protein
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_10	5947	6288	342	1	0.579	11	GGAG/GAGG	GENOMAD.153091.VC	6.604e-38	138	0	0	1	1	NA	NA	NA	PF11836	Phage tail tube protein, GTA-gp10
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_11	6500	7090	591	1	0.604	11	AGGAG	GENOMAD.214866.VV	7.823e-58	200	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_12	7101	7730	630	1	0.605	11	AGGA	GENOMAD.124471.VC	1.076e-31	125	0	0	0	2561	Caudoviricetes	NA	NA	PF09343	TIGR02217 family protein
lane121s003962_megahit_k141_356-flag=1-multi=6.0000-len=8203_13	7727	8203	477	1	0.608	11	GGAG/GAGG	GENOMAD.153699.VC	5.03e-18	83	0	0	0	2561	Caudoviricetes	NA	NA	PF09931	phage conserved hypothetical protein BR0599
lane121s003962_megahit_k141_149-flag=1-multi=4.0000-len=2330_1	3	95	93	-1	0.538	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_149-flag=1-multi=4.0000-len=2330_2	98	472	375	-1	0.568	11	GGA/GAG/AGG	GENOMAD.168620.VP	2.435e-12	65	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane121s003962_megahit_k141_149-flag=1-multi=4.0000-len=2330_3	472	2328	1857	-1	0.571	11	None	GENOMAD.190609.VP	5.036e-42	168	0	0	1	2561	Caudoviricetes	NA	NA	COG5281	Phage-related minor tail protein
lane121s003962_megahit_k141_1647-flag=1-multi=5.0000-len=4154_1	2	385	384	1	0.487	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_1647-flag=1-multi=5.0000-len=4154_2	510	2144	1635	-1	0.560	11	GGAGG	GENOMAD.168484.VP	4.498e-22	104	0	0	1	2561	Caudoviricetes	NA	NA	PF20441;PF03354	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
lane121s003962_megahit_k141_1647-flag=1-multi=5.0000-len=4154_3	2107	2517	411	-1	0.591	11	GGAG/GAGG	GENOMAD.130585.VV	1.432e-14	72	0	0	1	2561	Caudoviricetes	NA	NA	PF05119	Phage terminase, small subunit
lane121s003962_megahit_k141_1647-flag=1-multi=5.0000-len=4154_4	2517	2843	327	-1	0.550	11	AGGAG	GENOMAD.123093.VP	1.959e-24	99	0	0	1	2561	Caudoviricetes	NA	NA	PF05521	Bacteriophage head-tail adaptor
lane121s003962_megahit_k141_1647-flag=1-multi=5.0000-len=4154_5	2830	3096	267	-1	0.539	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_1647-flag=1-multi=5.0000-len=4154_6	3106	3414	309	-1	0.553	11	AGGA	GENOMAD.211768.VP	9.157e-22	91	0	0	1	2561	Caudoviricetes	NA	NA	PF05135	Phage gp6-like head-tail connector protein
lane121s003962_megahit_k141_1647-flag=1-multi=5.0000-len=4154_7	3527	3805	279	-1	0.534	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_1488-flag=1-multi=6.0000-len=4531_1	39	476	438	-1	0.553	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_1488-flag=1-multi=6.0000-len=4531_2	767	2086	1320	-1	0.542	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane121s003962_megahit_k141_1488-flag=1-multi=6.0000-len=4531_3	2142	3722	1581	-1	0.545	11	AGGA/GGAG/GAGG	GENOMAD.224165.VP	7.689e-17	87	0	0	0	1	NA	NA	NA	PF06970	phage replication protein O, N-terminal domain
